City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
111,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Comfort Rooms
112,Denpasar,ID,85.71,few clouds,-8.65,115.2167,Hotel Candra Adiguna
114,Bida,NG,74.88,overcast clouds,9.0833,6.0167,No hotel found
115,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
121,Mongo,TD,84.56,overcast clouds,12.1844,18.693,No hotel found
129,Tual,ID,83.28,overcast clouds,-5.6667,132.75,Suita
131,Victoria,HK,78.85,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
132,Boyolangu,ID,85.19,overcast clouds,-8.1181,111.8935,No hotel found
133,Lorengau,PG,85.28,few clouds,-2.0226,147.2712,Seeadler Bay Hotel
134,Vao,NC,76.06,scattered clouds,-22.6667,167.4833,Nataiwatch
137,Soe,ID,79.03,broken clouds,-9.8607,124.284,DENA
140,Bengkulu,ID,84.15,broken clouds,-3.8004,102.2655,Dena Hotel
141,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,Pousada tia Fabíola
151,Iquitos,PE,77.04,clear sky,-3.7481,-73.2472,Marfil del Amazonas
162,Monte Alegre,BR,74.71,broken clouds,-2.0078,-54.0692,No hotel found
163,Porto Novo,BJ,75.02,moderate rain,6.4965,2.6036,Hôtel 6500 CFA
167,Carnarvon,AU,81.81,broken clouds,-24.8667,113.6333,No hotel found
169,Mabaruma,GY,70.07,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
171,Tiarei,PF,87.82,light rain,-17.5333,-149.3333,No hotel found
172,Singaraja,ID,83.05,overcast clouds,-8.112,115.0882,Hotel Sentral
173,Hirara,JP,79.07,broken clouds,24.8,125.2833,古謝そば屋
177,Praya,CV,70.34,few clouds,14.9215,-23.5087,Casa Sodadi
180,Matamoros,MX,78.91,scattered clouds,25.5333,-103.25,No hotel found
185,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le Baril
186,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
187,Katobu,ID,85.5,overcast clouds,-4.9408,122.5276,No hotel found
193,Songkhla,TH,86.05,overcast clouds,6.8333,100.6667,No hotel found
197,Kango,GA,72.75,overcast clouds,0.1943,10.0951,No hotel found
199,Prainha,BR,74.79,broken clouds,-1.8,-53.48,No hotel found
201,Acajutla,SV,82.04,broken clouds,13.5928,-89.8275,Hotel Lara
202,Namatanai,PG,85.82,clear sky,-3.6667,152.4333,Namatanai Hotel
203,Kavieng,PG,84.96,few clouds,-2.5744,150.7967,Kavieng Hotel
206,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,losmen Surya
207,Faanui,PF,82.18,light rain,-16.4833,-151.75,Oa Oa Lodge
209,Canton,CN,76.95,overcast clouds,23.1167,113.25,No hotel found
211,Tevaitoa,PF,82.36,scattered clouds,-16.7833,-151.5,Chambre d'hote
217,Bowen,AU,82.58,few clouds,-20.0167,148.2333,Whitsunday Sands Resort
218,Meulaboh,ID,83.35,broken clouds,4.1363,96.1285,Hotel Meuligou
222,Cidreira,BR,74.48,overcast clouds,-30.1811,-50.2056,Hotel Castelo
223,Matara,LK,77.83,overcast clouds,5.9485,80.5353,Villa Palm Breeze
225,Catamarca,AR,81.41,overcast clouds,-28.4696,-65.7852,Hotel de Turismo
227,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Page 63 hostel
234,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,No hotel found
